Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
AC136628.3,6,0,0,4,10,63,0,0,10,2,0
ANKRD13B,48,15,0,2,83,293,1,0,68,0,6
AC136475.3,6,2,0,0,4,43,0,0,14,6,0
KCNE1B,15,3,0,4,95,135,0,0,33,7,5
GALNT3,10,0,0,0,51,72,0,0,28,0,3
SH3GL1P2,6,0,0,14,11,32,0,3,9,8,0
AC112694.1,12,2,0,4,10,10,0,0,0,6,0
BX323043.1,4,2,0,0,0,8,0,14,20,0,0
ADAM23,44,14,4,0,133,48,0,0,164,0,3
PALM3,0,4,0,0,51,32,0,1,28,0,2
SNCB,0,0,0,4,38,4,0,0,0,0,0
DENND6A-AS1,4,4,0,0,14,14,0,0,10,0,0
HAR1A,2,2,0,0,4,32,0,22,20,6,0
MTND5P28,6,0,0,0,2,2,0,30,15,0,0
AC073569.3,16,4,0,0,0,2,0,0,0,0,0
UBE2F-SCLY,16,4,0,0,0,0,0,0,0,2,0
NPM1P52,6,0,0,6,12,0,0,0,8,10,0
GLRB,10,6,0,0,2,12,0,2,28,0,1
HERC2P3,2,2,0,2,31,52,0,0,1,1,0
NSG2,0,2,0,0,20,22,0,0,12,16,0
HAVCR1,3,8,0,0,150,222,0,30,18,0,6
IL36G,20,0,0,0,8,6,0,0,89,18,6
AC112484.5,2,0,0,0,21,54,0,0,8,2,0
SNORA63C,0,0,0,2,0,6,0,0,26,28,0
LINC01771,0,2,0,10,0,10,0,0,26,0,0
AP001160.2,8,4,0,8,7,0,0,0,8,0,0
AF274853.1,8,0,0,0,4,12,0,0,10,6,0
OR2C1,4,0,0,0,22,10,0,0,4,0,0
AC012464.3,0,2,0,10,28,19,0,12,6,0,0
AC068946.2,6,1,0,2,0,9,0,0,16,0,0
LINC01624,27,16,0,4,116,39,0,14,54,0,8
AC009121.4,14,0,0,0,4,18,0,0,0,0,0
AC032011.1,14,0,0,0,0,16,0,8,22,2,1
AP000424.1,6,0,0,0,14,16,0,14,6,6,0
LINC00664,8,12,0,0,18,68,0,0,0,0,0
COL26A1,107,112,0,2,152,884,0,35,430,26,38
AC073655.1,1,0,0,2,0,5,0,0,24,0,0
AC026477.1,2,0,0,14,6,0,0,0,18,0,0
AC022100.1,7,0,0,0,0,16,0,0,14,0,0
AC009145.1,0,0,0,0,15,7,0,0,15,2,0
AL096803.1,10,0,0,0,13,33,0,0,0,0,0
AC100821.1,1,0,0,0,14,11,0,0,14,0,0
AC073348.2,0,8,0,0,22,18,0,0,10,0,0
MMP11,10,16,0,2,324,636,1,0,60,0,12
SACS-AS1,8,8,0,0,6,7,0,0,8,0,0
AL121852.1,2,0,0,0,0,5,0,0,22,6,0
AC009704.2,6,0,0,0,2,0,0,0,14,24,0
RPS16P2,2,0,0,6,14,14,0,0,12,10,0
AC244517.1,10,0,0,0,4,0,0,0,6,10,0
AC068790.2,0,0,0,0,16,4,0,0,14,18,0
AC093525.4,0,0,0,0,29,9,0,0,5,1,0
RPL18P10,12,0,0,6,8,14,0,22,0,6,0
TPPP3,6,0,0,0,22,18,0,0,0,0,0
HCCAT5,8,0,0,0,0,0,0,0,12,0,0
AC138956.1,0,2,0,0,36,26,0,0,0,0,0
SLC10A6,0,0,0,0,36,53,0,1,0,0,0
LINC00571,2,2,0,3,22,29,0,0,6,15,0
CXCL11,8,12,0,4,30,32,1,0,44,8,1
AC027228.3,0,0,0,0,33,4,0,0,2,0,0
AC108174.1,0,0,0,0,7,4,0,0,20,0,0
HMSD,0,6,0,7,15,6,0,26,14,0,0
CDK5R2,16,10,0,0,8,71,0,0,12,6,1
AC106865.2,2,0,0,0,2,4,0,0,20,6,0
AL137159.1,12,0,0,0,0,8,0,0,5,0,0
RN7SKP80,1,12,0,1,21,42,0,0,8,2,0
AC105384.2,0,0,0,0,24,0,0,0,8,0,0
AC015720.2,0,0,0,0,24,10,0,0,8,0,0
MTDHP4,2,0,0,0,2,2,0,0,20,0,0
PPP2R2C,4,2,0,0,61,52,0,0,26,0,3
KIF6,4,0,0,0,0,11,0,0,18,1,0
LINC00484,6,0,0,3,21,4,0,12,0,0,0
CRYAB,8,0,0,12,2,16,0,0,10,0,0
RNU1-47P,0,19,0,0,22,34,0,0,9,0,0
AC131235.2,11,8,0,5,74,75,0,20,26,0,4
AC097533.1,0,2,0,2,16,49,0,0,13,11,0
AL359878.2,10,2,0,0,26,10,0,0,8,0,1
AL583810.2,0,0,0,0,12,27,0,0,16,0,0
AD000090.1,0,0,1,1,89,2,0,0,0,0,0
DACT3-AS1,4,4,0,4,8,6,0,0,12,12,0
AP001767.4,6,0,0,10,12,11,0,0,6,4,0
RN7SL300P,5,11,0,2,0,8,0,1,16,6,0
OR7E26P,8,0,0,0,16,12,0,0,0,0,0
PPIAP72,2,0,0,0,7,8,0,0,16,2,0
AC007919.2,0,0,0,9,6,4,0,0,20,0,0
AC141557.1,0,10,0,0,49,6,1,0,25,0,0
ZNF30-AS1,8,0,0,0,10,8,0,0,4,0,0
AC133681.1,0,0,0,0,3,2,0,0,22,0,0
MAST4-AS1,0,14,0,2,7,20,0,0,19,0,0
DZIP1,4,6,0,0,22,24,0,0,2,0,0
AP003108.4,0,0,0,0,0,0,0,0,24,0,0
AL035661.1,0,0,0,0,0,0,0,0,24,0,0
AF287957.1,0,0,0,0,0,4,0,0,24,0,0
AC110597.1,0,0,0,0,0,0,0,12,24,0,0
AP000253.1,10,2,0,1,8,0,0,0,2,4,0
TP63,0,2,0,0,32,51,1,1,35,0,0
AC092198.1,0,6,0,0,20,2,0,0,10,0,0
PTCHD4,2,2,0,4,12,31,0,0,12,14,0
AC093850.1,1,0,0,0,32,2,0,0,0,0,0
